jornal,coluna,data,titulo,link,metaforico
Folha de S. Paulo,Ilustrada,2001-04-01,Tampas e panelas de pressão,https://www1.folha.uol.com.br/fsp/ilustrad/fq0401200121.htm,0
Folha de S. Paulo,Mundo,2001-09-01,OMS diz quer 400 milhões de pessoas sofrem de transtorno mental,https://www1.folha.uol.com.br/folha/mundo/ult94u16986.shtml?origin=folha,0
Folha de S. Paulo,Ilustrada,2001-10-01,Traços de esquizofrenia,https://www1.folha.uol.com.br/fsp/ilustrad/fq1001200106.htm,0
Folha de S. Paulo,Ciência,2001-01-16,Israelenses descobrem gene que indica propensão à esquizofrenia,https://www1.folha.uol.com.br/folha/ciencia/ult306u2066.shtml?origin=folha,0
Folha de S. Paulo,Ciência,2001-01-17,Pesquisadores anunciam exame de sangue que detecta esquizofrenia,https://www1.folha.uol.com.br/folha/ciencia/ult306u2071.shtml?origin=folha,0
Folha de S. Paulo,Ilustrada,2001-01-17,Filme com Samuel Jackson abre Festival do Cinema Negro nos EUA,https://www1.folha.uol.com.br/folha/ilustrada/ult90u9192.shtml?origin=folha,0
Folha de S. Paulo,Ciência,2021-01-17,Autopercepção está no lado direito do cérebro,https://www1.folha.uol.com.br/folha/ciencia/ult306u2087.shtml?origin=folha,0
Folha de S. Paulo,Ciência,2001-01-18,Pesquisa pode auxiliar tratamento de esquizofrenia e despersonalização,https://www1.folha.uol.com.br/fsp/ciencia/fe1801200107.htm,0
Folha de S. Paulo,Ciência,2001-07-02,Cientistas fazem previsões otimistas sobre avanços até 2005,https://www1.folha.uol.com.br/folha/ciencia/ult306u2418.shtml?origin=folha,0
Folha de S. Paulo,Equilibrio,2001-08-02,Dúvidas: A homeopatia tem uma ação limitada?,https://www1.folha.uol.com.br/fsp/equilibrio/eq0802200113.htm,0
Folha de S. Paulo,Ciência,2001-02-14,Roche e deCODE anunciam avanços na pesquisa sobre esquizofrenia,https://www1.folha.uol.com.br/folha/ciencia/ult306u2546.shtml?origin=folha,0
Folha de S. Paulo,Ilustrada,2001-02-17,"""Qorpo Santo"": Livro desencava bobagens do autor",https://www1.folha.uol.com.br/folha/ilustrada/ult90u10685.shtml?origin=folha,0
Folha de S. Paulo,Folhateen,2001-02-19,"""Nóia"" persegue jovens há dez anos",https://www1.folha.uol.com.br/fsp/folhatee/fm1902200116.htm,0
Folha de S. Paulo,Folhateen,2001-02-19,"O PERFIL DA ""NÓIA""",https://www1.folha.uol.com.br/fsp/folhatee/fm1902200117.htm,0
Folha de S. Paulo,Ciência,2001-02-22,Computador detecta sinais precoces de esquizofrenia,https://www1.folha.uol.com.br/folha/ciencia/ult306u2709.shtml?origin=folha,0
Folha de S. Paulo,Ciência,2001-03-14,Alucinógeno pode tratar doença mental,https://www1.folha.uol.com.br/fsp/ciencia/fe1403200101.htm,0
Folha de S. Paulo,Ciência,2001-03-20,Cientistas alemães descobrem gene da esquizofrenia,https://www1.folha.uol.com.br/folha/ciencia/ult306u3019.shtml?origin=folha,0
Folha de S. Paulo,Ciência,2001-03-21,Alemães encontram gene ligado à esquizofrenia,https://www1.folha.uol.com.br/fsp/ciencia/fe2103200105.htm,0
Folha de S. Paulo,+mais!,2001-03-25,A morte do determinismo,https://www1.folha.uol.com.br/fsp/mais/fs2503200110.htm,0
Folha de S. Paulo,Ilustrada,2001-03-29,Acre leva ao palco delírio da doméstica Stella do Patrocínio,http://www1.folha.uol.com.br/fsp/ilustrad/fq2903200109.htm,0
Folha de S. Paulo,Ilustrada,2001-07-04,Discovery Health celebra o Dia Mundial da Saúde,http://www1.folha.uol.com.br/fsp/ilustrad/fq0704200102.htm,0
Folha de S. Paulo,+mais!,2001-08-04,O discurso da loucura,http://www1.folha.uol.com.br/fsp/mais/fs0804200111.htm,0
Folha de S. Paulo,Ciência,2001-10-04,"Vírus pode agravar esquizofrenia, dizem pesquisadores",http://www1.folha.uol.com.br/folha/ciencia/ult306u3264.shtml,0
Folha de S. Paulo,Ciência,2001-11-04,Estudo relaciona esquizofrenia com vírus,http://www1.folha.uol.com.br/fsp/ciencia/fe1104200101.htm,0
Folha de S. Paulo,Ciência,2001-04-25,Federal de Pernambuco promove simpósio sobre cérebro,http://www1.folha.uol.com.br/folha/ciencia/ult306u3428.shtml,0
Folha de S. Paulo,Mundo,2001-11-05,Alan García é suspeito de ser esquizofrênico,https://www1.folha.uol.com.br/fsp/mundo/ft1105200113.htm,0
Folha de S. Paulo,Ciência,2001-05-13,Gene do alcoolismo,https://www1.folha.uol.com.br/fsp/ciencia/fe1305200108.htm,0
Folha de S. Paulo,Ciência,2001-05-13,Cérebros para viagem,https://www1.folha.uol.com.br/fsp/ciencia/fe1305200104.htm,0
Folha de S. Paulo,Mundo,2001-05-17,Execução de doente mental é cancelada no último minuto,https://www1.folha.uol.com.br/fsp/mundo/ft1705200108.htm,0
