Ano,Links (ESQUIZOFRENIA),Ano,Links (ESQUIZOFRÊNICO),Ano,Links (ESQUIZOFRÊNICA),Ano,Links (ESQUIZOFRÊNICOS),Ano,Links (ESQUIZOFRÊNICAS),, 
2009,https://www.correiodopovo.com.br/not%C3%ADcias/pol%C3%ADtica/dilma-defende-o-pmdb-de-olho-em-alian%C3%A7a-em-2010-1.1773,2009,https://www.correiodopovo.com.br/blogs/cinecp/mulher-invis%C3%ADvel-em-dvd-1.282718,2009,https://www.correiodopovo.com.br/not%C3%ADcias/economia/lula-reafirma-que-mercado-interno-levou-brasil-a-superar-crise-1.8507,2012,https://www.correiodopovo.com.br/blogs/pitlane/n%C3%A3o-faz-sentido-mas-%C3%A9-a-not%C3%ADcia-lotus-deixa-de-patrocinar-a-lotus-na-f-1-1.290050,2010,https://www.correiodopovo.com.br/blogs/juremirmachado/votos-que-valem-mais-1.287780,, 
2010,https://www.correiodopovo.com.br/not%C3%ADcias/pol%C3%ADcia/cl%C3%ADnica-investigada-por-maus-tratos-%C3%A9-proibida-de-atender-adolescentes-1.46934,2010,https://www.correiodopovo.com.br/not%C3%ADcias/geral/mulher-que-acordou-no-iml-morre-em-alagoas-1.31198,2010,https://www.correiodopovo.com.br/arteagenda/museu-de-ny-realiza-primeira-mostra-do-checo-miroslav-tich%C3%BD-1.26084,2015,https://www.correiodopovo.com.br/not%C3%ADcias/geral/maconha-uma-droga-nada-inofensiva-1.171815,2010,https://www.correiodopovo.com.br/not%C3%ADcias/pol%C3%ADtica/elei%C3%A7%C3%B5es/elei%C3%A7%C3%A3o-de-2014-deve-seguir-novo-c%C3%B3digo-eleitoral-1.46756,, 
2010,https://www.correiodopovo.com.br/not%C3%ADcias/pol%C3%ADcia/pacientes-ser%C3%A3o-removidos-de-cl%C3%ADnica-em-passo-fundo-devido-a-den%C3%BAncia-de-maus-tratos-1.42800,2011,https://www.correiodopovo.com.br/blogs/cinecp/imperd%C3%ADvel-e-divertido-1.284205,2011,https://www.correiodopovo.com.br/not%C3%ADcias/pol%C3%ADcia/m%C3%A3e-de-atirador-era-esquizofr%C3%AAnica-diz-secret%C3%A1rio-de-assist%C3%AAncia-social-1.59054,2017,https://www.correiodopovo.com.br/not%C3%ADcias/pol%C3%ADtica/ministro-da-justi%C3%A7a-defende-pol%C3%ADtica-nacional-a-longo-prazo-no-combate-ao-narcotr%C3%A1fico-1.234207,2011,https://www.correiodopovo.com.br/blogs/juremirmachado/carta-de-professores-de-educa%C3%A7%C3%A3o-f%C3%ADsica-1.287916,, 
2010,https://www.correiodopovo.com.br/not%C3%ADcias/pol%C3%ADcia/donos-de-cl%C3%ADnica-de-passo-fundo-podem-ser-indiciados-por-tortura-1.42739,2012,https://www.correiodopovo.com.br/not%C3%ADcias/mundo/noruegu%C3%AAs-que-matou-77-pode-ser-internado-em-hosp%C3%ADcio-1.86803,2012,https://www.correiodopovo.com.br/arteagenda/diretor-romeno-busca-segunda-palma-de-ouro-em-cannes-com-hist%C3%B3ria-de-exorcismo-1.92119,2017,https://www.correiodopovo.com.br/blogs/juremirmachado/socialismo-%C3%A0-brasileira-1.656,2013,https://www.correiodopovo.com.br/arteagenda/alicia-keys-faz-show-refinado-e-profissional-no-rock-in-rio-1.126353,, 
2010,https://www.correiodopovo.com.br/not%C3%ADcias/pol%C3%ADcia/pol%C3%ADcia-investiga-cl%C3%ADnica-de-reabilita%C3%A7%C3%A3o-de-passo-fundo-por-maus-tratos-1.42693,2012,https://www.correiodopovo.com.br/arteagenda/xanadu-se-despede-de-porto-alegre-neste-domingo-1.93197,2012,https://www.correiodopovo.com.br/blogs/cinecp/craig-daniel-craig-1.291755,2017,https://www.correiodopovo.com.br/not%C3%ADcias/geral/cientistas-identificam-vozes-ouvidas-por-pacientes-esquizofr%C3%AAnicos-1.240308,2016,https://www.correiodopovo.com.br/blogs/oscarbessi/essa-gente-maravilhosa-de-santo-ant%C3%B4nio-da-patrulha-1.306656,, 
2010,https://www.correiodopovo.com.br/arteagenda/tony-curtis-morre-aos-85-anos-1.42148,2012,https://www.correiodopovo.com.br/blogs/pitlane/o-desequil%C3%ADbrio-sem-fim-quase-vira-com%C3%A9dia-na-mclaren-em-2012-1.290468,2013,https://www.correiodopovo.com.br/blogs/juremirmachado/entrevistas-marcantes-baudrillard-e-o-virtual-1.305085, ,,2022,https://www.correiodopovo.com.br/colunistas/guilherme-baumhardt/o-pt-est%C3%A1-nu-e-isso-%C3%A9-%C3%B3timo-1.759614,, 
2010,https://www.correiodopovo.com.br/not%C3%ADcias/pol%C3%ADcia/justi%C3%A7a-pune-com-tratamento-psiqui%C3%A1trico-acusado-de-matar-torcedor-do-inter-em-2006-1.41535,2012,https://www.correiodopovo.com.br/arteagenda/valente-%C3%A9-um-dos-destaques-dos-cinemas-de-porto-alegre-1.96815,2013,https://www.correiodopovo.com.br/arteagenda/filme-brasileiro-entre-n%C3%B3s-compete-no-festival-de-roma-1.128450, ,,,,, 
2010,https://www.correiodopovo.com.br/blogs/juremirmachado/rea%C3%A7%C3%A3o-farroupilha-1.287764,2013,https://www.correiodopovo.com.br/blogs/juremirmachado/dilma-furiosa-na-onu-e-psb-fervendo-no-rs-1.550,2014,https://www.correiodopovo.com.br/arteagenda/com%C3%A9dia-fala-de-mulheres-com-transtornos-de-personalidade-1.158859, ,,,,,
2010,https://www.correiodopovo.com.br/not%C3%ADcias/pol%C3%ADcia/centenas-de-medicamentos-de-uso-restrito-s%C3%A3o-encontrados-na-capital-1.23814,2014,https://www.correiodopovo.com.br/esportes/imagens-do-topless-de-esquiadora-do-l%C3%ADbano-causam-pol%C3%AAmica-1.136545,2014,https://www.correiodopovo.com.br/arteagenda/aos-102-anos-morre-o-poeta-e-linguista-liban%C3%AAs-said-akl-1.159493, ,,,,,
2010,https://www.correiodopovo.com.br/not%C3%ADcias/mundo/consumo-de-maconha-aumenta-risco-de-doen%C3%A7as-ps%C3%ADquicas-diz-estudo-1.18846,2014,https://www.correiodopovo.com.br/not%C3%ADcias/mundo/falso-int%C3%A9rprete-do-funeral-de-mandela-aparece-em-comercial-1.142852,2015,https://www.correiodopovo.com.br/arteagenda/pe%C3%A7a-com-dire%C3%A7%C3%A3o-de-jo%C3%A3o-carlos-castanha-tem-sess%C3%A3o-%C3%BAnica-nesta-sexta-1.180640, ,,,,,
