ano,links,nome,paragrafos_resgatados,texto_completo,indice
2009,https://www.correiodopovo.com.br/not%C3%ADcias/pol%C3%ADtica/dilma-defende-o-pmdb-de-olho-em-alian%C3%A7a-em-2010-1.1773,esquizofrenia,"['Em entrevista, a governadora considerou ""incoerente"" um partido que participa do seu governo bater na gestão. ""É esquizofrenia"", disse ela, em demonstração de que a união com o PMDB regional não será fácil. Segundo a petista, o PMDB coordena dois terços dos programas do PAC (Programa de Aceleração do Crescimento). Em entrevista ao lado de Dilma e do ministro das Relações Institucionais, Alexandre Padilha, Ana Júlia disse ser possível superar os obstáculos.']","['Ministra participou de evento em Belém e disse que o maior partido do país é ""muito estigmatizado""', '12/10/2009 | 12:32\n                    \n          \n          Atualizado\n                    12:33', 'A ministra da Casa Civil, Dilma Rousseff, saiu no último domingo em defesa do PMDB e disse que ""se estigmatiza"" muito o partido, ""que o PMDB quer isso, quer aquilo, quer aquilo outro"". Ela comentava a dificuldade que enfrentam PT e PMDB, no Pará, para fechar uma aliança estadual para as eleições do ano que vem. O PMDB é o maior partido do país e é disputado como aliado pelos pré-candidatos à Presidência de todas legendas, entre eles a ministra, na eleição no ano que vem. Hoje, ele faz parte da base aliada do governo do presidente Luiz Inácio Lula da Silva.', 'No Pará, a maior liderança do partido é o deputado Jader Barbalho, que apoiou a eleição da governadora Ana Júlia Carepa (PT) em 2006, teve a sua participação reduzida no governo estadual e quer lançar seu filho Hélder Barbalho, prefeito de Ananindeua, ao governo. Ana Júlia pretende disputar a reeleição. O PMDB perdeu o comando da Secretaria Estadual da Saúde e a governadora não apoiou o candidato de Jader para a Prefeitura de Belém, em 2008, consolidando o ressentimento. Através do conglomerado de comunicação da família, sob as ordens de Jader Barbalho Filho, ele faz críticas ao governo de Ana Júlia.', 'Em entrevista, a governadora considerou ""incoerente"" um partido que participa do seu governo bater na gestão. ""É esquizofrenia"", disse ela, em demonstração de que a união com o PMDB regional não será fácil. Segundo a petista, o PMDB coordena dois terços dos programas do PAC (Programa de Aceleração do Crescimento). Em entrevista ao lado de Dilma e do ministro das Relações Institucionais, Alexandre Padilha, Ana Júlia disse ser possível superar os obstáculos.']",0
2010,https://www.correiodopovo.com.br/not%C3%ADcias/pol%C3%ADcia/cl%C3%ADnica-investigada-por-maus-tratos-%C3%A9-proibida-de-atender-adolescentes-1.46934,esquizofrenia,"['Dependentes químicos eram mantidos de forma irregular ao lado de pacientes com esquizofrenia', 'O Juizado da Infância e da Juventude de Passo Fundo, no Norte do Estado, concedeu nessa quarta-feira liminar em ação civil pública, movida pelo Ministério Público, que proíbe uma clínica terapêutica investigada por denúncias de maus tratos de internar crianças e adolescentes para avaliação ou tratamento de dependência química. A clínica de recuperação de dependentes químicos e portadores de esquizofrenia, localizada no loteamento Dom Rodolfo, foi denunciada por agressões e abuso sexual contra os internos.', ', onde encontraram 72 pacientes de ambos os sexos. Entre eles, estavam 14 adolescentes dependentes químicos, mantidos de forma irregular ao lado de pacientes com esquizofrenia. Os adolescentes foram retirados da clínica e o Ministério Público abriu procedimento para investigar o caso. Segundo a promotora da Infância e da Juventude, Ana Cristina Ferrareze Cirne, os depoimentos dos internos e laudos técnicos confirmaram as denúncias de agressões físicas, psicológicas, maus tratos e abuso sexual.']","['Dependentes químicos eram mantidos de forma irregular ao lado de pacientes com esquizofrenia', '18/11/2010 | 9:38\n                    \n          \n          Atualizado\n                    12:19', 'O Juizado da Infância e da Juventude de Passo Fundo, no Norte do Estado, concedeu nessa quarta-feira liminar em ação civil pública, movida pelo Ministério Público, que proíbe uma clínica terapêutica investigada por denúncias de maus tratos de internar crianças e adolescentes para avaliação ou tratamento de dependência química. A clínica de recuperação de dependentes químicos e portadores de esquizofrenia, localizada no loteamento Dom Rodolfo, foi denunciada por agressões e abuso sexual contra os internos.', 'policiais da Delegacia de Proteção à Criança e ao Adolescente deram uma batida na clínica', ', onde encontraram 72 pacientes de ambos os sexos. Entre eles, estavam 14 adolescentes dependentes químicos, mantidos de forma irregular ao lado de pacientes com esquizofrenia. Os adolescentes foram retirados da clínica e o Ministério Público abriu procedimento para investigar o caso. Segundo a promotora da Infância e da Juventude, Ana Cristina Ferrareze Cirne, os depoimentos dos internos e laudos técnicos confirmaram as denúncias de agressões físicas, psicológicas, maus tratos e abuso sexual.', 'Com isso, a promotora ajuizou a ação civil pública na Justiça, com pedido de liminar, solicitando a suspensão de internação de crianças e adolescentes no estabelecimento. Dessa forma, a clínica fica proibida de internar, avaliar ou realizar qualquer atendimento à crianças e adolescentes. O descumprimento da decisão, implica em multa diária de R$ 1,5 mil para cada paciente atendido. A promotora Ana Cristina Ferrareze Cirne revela que o local é inadequado para oferecer tratamento aos dependentes químicos, pois não possuiu recursos humanos e nem materiais para esse tipo de atendimento.', 'A clínica está sendo investigada pela Delegacia de Proteção a Criança e ao Adolescente. O delegado Mário Pezzi disse que o inquérito está em andamento e ainda não tem previsão de encerramento. Ele pretende ouvir novamente algumas pessoas que já prestaram depoimento e aguarda pelo laudo de perícias. Apesar disso, Pezzi argumenta que existem indícios suficientes que apontam para crimes.']",1
2010,https://www.correiodopovo.com.br/not%C3%ADcias/pol%C3%ADcia/pacientes-ser%C3%A3o-removidos-de-cl%C3%ADnica-em-passo-fundo-devido-a-den%C3%BAncia-de-maus-tratos-1.42800,esquizofrenia,"['Os pacientes internados em uma clínica\xa0para recuperação de dependentes químicos e doentes com esquizofrenia, no loteamento Dom Rodolfo, em Passo Fundo, serão removidos do local', 'Além das denúncias de maus tratos e tortura, que estão sendo investigadas pela Delegacia de Proteção a Criança e ao Adolescente (DPCA), a clínica não tem alvará de funcionamento. Grando\xa0informou que em setembro de 2009, o local teve o documento para funcionamento negado pela Vigilância Sanitária por não preencher os requisitos necessários para atender pacientes com esquizofrenia.\xa0Sem o alvará, a clínica é considerada clandestina.']","['Pacientes serão removidos de clínica em Passo Fundo devido a denúncia de maus tratos', 'Pacientes serão removidos de clínica em Passo Fundo devido a denúncia de maus tratos', 'Local está sendo investigado pela Delegacia de Proteção a Criança e ao Adolescente', '06/10/2010 | 11:44\n                    \n          \n          Atualizado\n                    13:02', 'Os pacientes internados em uma clínica\xa0para recuperação de dependentes químicos e doentes com esquizofrenia, no loteamento Dom Rodolfo, em Passo Fundo, serão removidos do local', '. A informação é do secretário municipal da Saúde, Alberi Grando, que participou de uma reunião com o promotor de Justiça da 1ª Promotoria Civil, Edgar Garcia, nesta quarta-feira.', 'Além das denúncias de maus tratos e tortura, que estão sendo investigadas pela Delegacia de Proteção a Criança e ao Adolescente (DPCA), a clínica não tem alvará de funcionamento. Grando\xa0informou que em setembro de 2009, o local teve o documento para funcionamento negado pela Vigilância Sanitária por não preencher os requisitos necessários para atender pacientes com esquizofrenia.\xa0Sem o alvará, a clínica é considerada clandestina.', 'Na terça-feira, a polícia retirou 14 adolescentes do local, mas ainda restam 68 pacientes maiores de idade. Desses, 49 apresentam problemas mentais e 19 são dependentes químicos. Segundo o secretário, apenas\xa0nove internados são de Passo Fundo. Eles serão encaminhados para outras instituições da cidade.', 'O promotor Edgar Garcia comunicará os municípios\xa0de origem dos pacientes\xa0para que eles sejam levados para suas cidades. O secretário Alberi Grando disse que isso deverá ser feito gradativamente. Enquanto isso,\xa0eles serão acompanhados por equipes da Secretaria da Saúde e da Secretaria de Assistência e Cidadania.', 'O inquérito aberto para apurar as denúncias de maus tratos, agressões, aborto e tortura continua em andamento. O titular da DPCA, delegado Mário Pezzi, tem 30 dias para concluir o inquérito. Ele já anunciou, que entre outros crimes, os responsáveis pela clínica devem ser indiciados também por tortura.']",2
2010,https://www.correiodopovo.com.br/not%C3%ADcias/pol%C3%ADcia/donos-de-cl%C3%ADnica-de-passo-fundo-podem-ser-indiciados-por-tortura-1.42739,esquizofrenia,"['e doentes com esquizofrenia por crime de tortura. A polícia está investigando a casa de tratamento, localizada no loteamento Dom Rodolfo, na periferia da cidade, devido a denúncias de maus tratos contra internos.']","['Polícia apreendeu material em casa de reabilitação investigada por denúncias de maus tratos', '05/10/2010 | 19:41\n                    \n          \n          Atualizado\n                    20:21', 'O titular da Delegacia de Proteção a Criança e ao Adolescente (DPCA) de Passo Fundo, delegado Mário Pezzi, disse, na noite desta terça-feira, que pode indiciar os responsáveis por uma', 'e doentes com esquizofrenia por crime de tortura. A polícia está investigando a casa de tratamento, localizada no loteamento Dom Rodolfo, na periferia da cidade, devido a denúncias de maus tratos contra internos.', 'Com mandado de busca e apreensão, os policiais entraram na clínica durante a tarde, onde encontraram 14 adolescentes em situação irregular. Além de não ser inscrita no Conselho Municipal de Defesa dos Direitos da Criança e do Adolescente (Comdica), a clínica clandestina mantinha os adolescentes junto com doentes mentais. Os internos fizeram denúncias de maus tratos e tortura.', 'Pezzi afirmou que existem fortíssimos indícios de tortura, inclusive com apreensão do material supostamente usado nas agressões, como meias recheadas com sabonetes, bolas de tecidos e bastões. Os internos relataram que eram agredidos até que os sabonetes se esfarelassem.', 'Duas adolescentes e uma jovem revelaram que teriam sofrido aborto no interior da clínica, onde foram abrigadas a tomar um medicamento abortivo. Os adolescentes, todos de fora de Passo Fundo, foram levados para casas de acolhimento da prefeitura e devem ser encaminhados para seus municípios de origem nesta quarta.', 'O material apreendido vai ser encaminhado para perícia, para ver se existem vestígios de sangue. Marcas desse tipo foram encontradas em colchões, paredes e no teto. Quatro pessoas que trabalhavam na clínica foram ouvidas e liberadas.', 'Além da tortura, Pezzi disse que os responsáveis pela casa devem responder por maus tratos e aborto, entre outros crimes que possam ser apurados durante o inquérito. A situação dos doentes mentais será decidida\xa0em reunião da 1ª Promotoria Civil e o secretário da Saúde do município, Alberi Grando, nesta quarta. O promotor de Justiça Edgar Garcia entende que, se não houver condições técnicas pra continuar funcionando, a clinica deve ser fechada.']",3
2010,https://www.correiodopovo.com.br/not%C3%ADcias/pol%C3%ADcia/pol%C3%ADcia-investiga-cl%C3%ADnica-de-reabilita%C3%A7%C3%A3o-de-passo-fundo-por-maus-tratos-1.42693,esquizofrenia,"['Dos 72 pacientes internados, 49 sofrem de esquizofrenia e 23 são dependentes químicos – 14 são adolescentes entre 15 e 18 anos incompletos, entre eles quatro meninas.\xa0Todos foram encaminhados ao Departamento Médico Legal para exame de lesões corporais.']","['Polícia investiga clínica de reabilitação de Passo Fundo por maus tratos', 'Polícia investiga clínica de reabilitação de Passo Fundo por maus tratos', 'Internos gritavam por socorro e afirmavam terem sido espancados e deixados sem alimentos', '05/10/2010 | 13:35\n                    \n          \n          Atualizado\n                    18:24', 'Agentes da Delegacia de Proteção à Criança e ao Adolescente (DPCA)\xa0investigam uma clínica\xa0de recuperação de dependentes químicos localizada no loteamento Dom Rodolfo, na periferia de Passo Fundo, no Norte de Estado, por maus tratos. Os 72 internos estariam sofrendo maus tratos no local, como privação de alimentos e espancamento.', 'Depois de\xa0denúncias anônimas, a polícia deu início às investigações. Com mandado de busca,\xa0policiais entraram\xa0na clínica no final da\xa0manhã desta terça-feira e\xa0teriam sido\xa0recebidos com pedidos de\xa0socorro pelos internos, que teriam dito que estavam cansados de apanhar.\xa0Os pacientes\xa0contaram que eram agredidos com tapas, socos e, inclusive, com golpe de meias recheadas com sabonetes. Os policiais encontraram vestígios de sangue nos colchões, nas paredes e no teto.', 'Dois adolescentes que já haviam sido liberados pela clínica, ouvidos por carta precatória, confirmaram os maus tratos. Um deles afirmou que\xa0teria sido\xa0sodomizado com um cabo de vassoura. Duas adolescentes internadas relataram aos policiais que teriam sido obrigadas a tomar medicamentos abortivos e teriam tido a gravidez interrompida dentro da clínica.', 'Dos 72 pacientes internados, 49 sofrem de esquizofrenia e 23 são dependentes químicos – 14 são adolescentes entre 15 e 18 anos incompletos, entre eles quatro meninas.\xa0Todos foram encaminhados ao Departamento Médico Legal para exame de lesões corporais.', 'O delegado responsável pelo caso, Mário Pezzi,\xa0 afirmou\xa0que há fortes indícios de tortura. Quatro pessoas que estavam trabalhando na clínica no momento da\xa0ação policial\xa0foram conduzidas para a DPCA, onde estão sendo ouvidas. No final da tarde, o delegado deve anunciar\xa0por quais crimes os responsáveis pela clínica devem ser indiciados e se vai pedir a prisão dos mesmos.', 'A ação da policia foi acompanhada pelo Conselho Tutelar da Criança e do Adolescente, pelo Ministério Público e pela Vigilância Sanitária, com apoio da Brigada Militar.']",4
2010,https://www.correiodopovo.com.br/arteagenda/tony-curtis-morre-aos-85-anos-1.42148,esquizofrenia,"['Em sua autobiografia, ""American Prince: A Memoir"" (Príncipe americano: uma memória, em tradução livre), Tony falou abertamente sobre a infância pobre e os abusos que sofreu nas mãos da mãe, que foi diagnosticada com esquizofrenia.']","['30/09/2010 | 9:36\n                    \n          \n          Atualizado\n                    11:46', 'O ator Tony Curtis morreu aos 85 anos de idade, em Los Angeles, informou sua filha, a atriz Jamie Lee Curtis, ao site do programa ""Entertainment Tonight"".', 'Tony que foi indicado\xa0ao\xa0Oscar por sua atuação em ""Acorrentados"", com Sidney Poitier,\xa0teve seu papel mais marcante ao lado de Marilyn Monroe no clássico de Billy Wilder ""Quanto mais quente, melhor"", em 1955 , onde seu personagem precisou se disfarçar de mulher para fugir de bandidos.', 'Filho de imigrantes judeus,\xa0Bernard Schwartz,\xa0seu nome de batismo,\xa0nasceu em 3 de junho de 1925 e foi criado no Bronx. Depois de ser dispensado da área militar com honras, Curtis se inscreveu num curso de interpretação e começou a fazer peças até ser descoberto pelo produtor David Selznick. Apartir disso, adotou o nome artístico de Tony Curtis.', 'Teve duas perdas importantes, seu irmão, Julius, após ser atropelado por um caminhão, em 1938, e seu filho, Nicholas, por overdose de heroína aos 23 anos.', 'Em sua autobiografia, ""American Prince: A Memoir"" (Príncipe americano: uma memória, em tradução livre), Tony falou abertamente sobre a infância pobre e os abusos que sofreu nas mãos da mãe, que foi diagnosticada com esquizofrenia.', 'Em 2008, numa entrevista à AFP,\xa0o ator\xa0falou de sua ascensão ao estrelato em Hollywood, marcada pelo sexo e a decadência que se seguiu ao mergulhar no mundo das drogas. ""Acho que não fiz os filmes que deveria ter feito"", comentou Curtis, admitindo ter recusado papeis que acabaram sendo aceitos por seus colegas Marlon Brando e Paul Newman.', '""Sinto que merecia mais do que a indústria me deu"". Mesmo assim, recebeu elogios da crítica por sua atuação em ""O homem que odiava as mulheres"" em 1968, e participou do épico ""Spartacus"" em 1960.', 'Na entrevista, também admitiu ser viciado em sexo.\xa0 ""Minha principal necessidade era ser aceito pelas pessoas. Não ter educação, não ter dinheiro, nada, exceto ser aceito por uma garota"", completou.', 'A primeira esposa de Curtis foi Janet Leigh, com quem teve uma filha, a atriz Jamie Lee Curtis. O Veterano\xa0atuou em\xa0mais de 120 filmes, tocava flauta e era pintor. Seu trabalho pode ser conhecido numa das coleções do Museu de Arte Moderna de Nova York.']",5
2010,https://www.correiodopovo.com.br/not%C3%ADcias/pol%C3%ADcia/justi%C3%A7a-pune-com-tratamento-psiqui%C3%A1trico-acusado-de-matar-torcedor-do-inter-em-2006-1.41535,esquizofrenia,"['A defesa ainda pode recorrer da decisão e a medida só passa a valer quando o processo transitar em julgado, ou seja, não couber mais recursos. O réu foi diagnosticado com esquizofrenia-paranóide.']","['Justiça pune com tratamento psiquiátrico acusado de matar torcedor do Inter em 2006', 'Justiça pune com tratamento psiquiátrico acusado de matar torcedor do Inter em 2006', 'Vítima morreu durante as comemorações do título da Libertadores, no bairro Santana', '23/09/2010 | 19:35\n                    \n          \n          Atualizado\n                    22:20', 'O homem\xa0acusado de matar um torcedor durante a festa\xa0do Inter pelo título da Copa Libertadores da América, em agosto de 2006,\xa0foi condenado a cumprir medida de segurança que consiste em internação hospitalar para tratamento psiquiátrico pelo prazo mínimo de dois anos no Instituto Psiquiátrico Forense. A sentença foi lida pela juíza Marta Borges Ortiz no início da noite desta quinta-feira, no Fórum Central de Porto Alegre.', 'A defesa ainda pode recorrer da decisão e a medida só passa a valer quando o processo transitar em julgado, ou seja, não couber mais recursos. O réu foi diagnosticado com esquizofrenia-paranóide.', 'Wagner de Medeiros Lemos, de 61 anos, era vizinho da vítima, morta com um tiro, num prédio do bairro Santana, na zona Leste da Capital. De acordo com a denúncia, Rodrigo Almeida Carvalho, de 28 anos, realizava um churrasco no apartamento térreo e o barulho\xa0incomodou o vizinho do quarto andar.', 'Pelo mesmo relato, Lemos\xa0ligou para a casa de Carvalho e\xa0insultou a mãe dele com palavras racistas, além de gritar ofensas pela janela do apartamento. A vítima e familiares\xa0então bateram à porta do\xa0condenado para reclamar. Na ocasião, Carvalho foi atingido por um tiro no peito. Ele chegou a ser socorrido, mas morreu no Hospital de Pronto Socorro da Capital.', 'O irmão da vítima, Paulo Henrique Almeida Carvalho, lamentou a decisão por considerá-la branda. No entanto, afirmou que a família não pretende discutir a pena na Justiça.']",6
2010,https://www.correiodopovo.com.br/blogs/juremirmachado/rea%C3%A7%C3%A3o-farroupilha-1.287764,esquizofrenia,"['Nunca gostei do que tu escreveu, seja em teus livros, seja na tua coluna no Correio do Povo, mas ouvindo hoje pela manhã teus comentários no programa Bom Dia, além de gostar menos ainda de ti, comecei a ficar preocupado se tu não estás sofrendo de algum distúrbio psiquiátrico, como demência ou esquizofrenia.']","['Por acaso Zumbi não assassinou Ganga Zumba pelo poder do quilombo de Palmares?', 'A Revolução Farroupilha foi derrotada , não a moral do povo que dela participou.  Se é por derrota militar então o que dizer do Quilombo de Palmares que foi aniquilado?', 'Os EUA invadiram o Iraque destroçaram as forças militares de Sadam Hussein e  o enforcaram. Por acaso pode-se dizer que os EUA venceram? Será que o verdadeiro herói não é o povo iraquiano que não se rende apesar do poderio tremendo em cima deles.', 'Vamos agora festejar as vitórias militares em detrimento das vitórias morais.', 'Aqui no Riogrande vamos soltar fogetes para dois poderosos exércitos que massacraram os missioneiros que lutavam pelo direito de viver em suas terras? Vamos festejar a  morte de Sepé Tiaraju como uma bela vitoria de Espanhóis e Portugueses? Vamos dizer que os missioneiros ajudara a destruir os charruas e minuanos e por isto não podem ser herois do nosso estado ?   Vamos dizer que Sepe Tiaraju nem era gaúcho e servia a Jesuítas da Espanha  e portanto deve ser tratado como vilão.', 'Vamos acender velinha pro poderoso estancieiro que matou o Negrinho do Pastoreio, afinal o estancieiro foi quem venceu na tua opinião.', 'Sou contra a reinvenção da história, mas fechar os olhos para os mitos é comer a casca e jogar a banana fora, principalmente para um escritor.', 'PS Escrever opinião no Correio do povo é quase impossível, quando menos se espera perdesse tudo o que foi escrito.', 'Nunca gostei do que tu escreveu, seja em teus livros, seja na tua coluna no Correio do Povo, mas ouvindo hoje pela manhã teus comentários no programa Bom Dia, além de gostar menos ainda de ti, comecei a ficar preocupado se tu não estás sofrendo de algum distúrbio psiquiátrico, como demência ou esquizofrenia.', 'Tu dizes que é uma burrice comemorar o 20 de Setembro e que deveríamos comemorar o 03 de outubro. O que foi o 03 de outubro ? Não foi um movimento revolucionário, mais violento institucionalmente que a Guerra Republicana de 1835 ? Ora, movimento revolucionário por movimento revolucionário, os dois foram, admiro os dois e estes nada mais são que a representação prática da hombridade e honradez do povo gaúcho.', 'Comparar o Exército republicano rio-grandense com o MST foi demais ! Não entendi se tua intenção é denegrir a imagem dos republicanos de 35 ou enaltecer o movimento terrorista do MST.', 'Pilhagem, estupro, violações ocorrem em qualquer guerra. Ou tu és como estes comunistazinhos que estão agarrados no governo federal, que na década de 60 pegaram em armas contra o governocívico-militar e esperavam que os soldados os esperassem com flores e cânticos ? E que hoje pedem indenização pela guerra que perderam, felizmente.', 'Juremir, conselho de leitor: vá procurar tratamento médico logo, se continuares assim, teus escritos servirão somente para análises psicanalíticas.']",7
2010,https://www.correiodopovo.com.br/not%C3%ADcias/pol%C3%ADcia/centenas-de-medicamentos-de-uso-restrito-s%C3%A3o-encontrados-na-capital-1.23814,esquizofrenia,"['Entre os medicamentos apreendidos haviam morfina, analgésicos cirúrgicos, antipsicóticos e indicados até para tratamento da esquizofrenia, além de outros narcóticos e antidepressivos. Muitos estavam rotulados como genéricos. Todas as embalagens não estavam amassadas e nem tinham sinais de deterioração, indicando que as mesmas encontravam-se sendo bem armazenadas antes de serem abandonadas na via pública.']","['13/04/2010 | 12:31\n                    \n          \n          Atualizado\n                    13:08', 'Medicamentos de uso restrito são encontrados na zona Norte de Porto Alegre', 'Centenas de medicamentos de uso restrito, com tarjas pretas ou vermelhas, foram encontrados na manhã de hoje pelos policiais militares do 11º BPM no bairro Cristo Redentor, em Porto Alegre. Os remédios estavam abandonados em dois locais, sendo um da rua Comendador Albino Cunha e outro na rua Edmundo Bastian. Segundo o capitão Sérgio Rocha, os produtos ainda estavam dentro dos prazos de validade. “Alguns encontravam-se dentro de sacos plásticos de lixo de cor preta”, observou, acrescentando que os demais foram deixados dentro de um container de resíduos de construção de um canteiro de obras. O material foi apreendido e encaminhado para a 9ª DP, no IAPI.', 'A Secretaria Municipal da Saúde foi acionada. Por coincidência, uma equipe da Vigilância Sanitária realizava um trabalho em relação à dengue no bairro e acompanhou a ação dos policiais militares do 11º BPM. O chefe de investigação da 9ª DP, Jorge Rubim, disse que o primeiro passo será apurar a origem dos medicamentos a partir da numeração dos lotes que está impressa nas embalagens. Ele já entrou em contato com o Grupo Hospitalar Conceição, que fica na região, e também com clínicas existentes na área, em busca de alguma pista. “Vamos verificar se esses remédios foram roubados, furtados, desviados ou simplesmente descartados”, explicou. Qualquer pista ou informação pode ser repassada à 9ª DP, que atende pelo telefone (51) 3345-0444.', 'Para o capitão Sérgio Rocha, do 11º BPM, o descarte inadequado de medicamentos, ainda dentro do prazo de validade, dificilmente teria sido realizado por um hospital e clínica pois os mesmos obedecem as normas da Vigilância Sanitária, mas não descartou mesmo assim essa possibilidade. O oficial recordou, porém, que há cerca de quatro meses ocorreu o roubo de medicamentos no bairro Humaitá.', 'Já o delegado Guilherme Wondracek, da Delegacia de Repressão a Roubos a Cargas, do Departamento Estadual de Investigações Criminais (Deic), vai aguardar a apuração dos colegas da 9ª DP. “Assumiremos o caso se ficar comprovado que se trata de medicamentos roubados ou furtados”, afirmou. Ele acredita que, no caso dos remédios serem realmente de procedência ilícita, os criminosos não teriam conseguido repassá-los nas farmácias por serem de uso restrito, muitos empregados somente dentro de estabelecimentos de saúde. Por isso, acrescentou o delegado, poderiam ter sido abandonando-os de qualquer jeito na rua.', 'Entre os medicamentos apreendidos haviam morfina, analgésicos cirúrgicos, antipsicóticos e indicados até para tratamento da esquizofrenia, além de outros narcóticos e antidepressivos. Muitos estavam rotulados como genéricos. Todas as embalagens não estavam amassadas e nem tinham sinais de deterioração, indicando que as mesmas encontravam-se sendo bem armazenadas antes de serem abandonadas na via pública.']",8
2010,https://www.correiodopovo.com.br/not%C3%ADcias/mundo/consumo-de-maconha-aumenta-risco-de-doen%C3%A7as-ps%C3%ADquicas-diz-estudo-1.18846,esquizofrenia,"['Pouco mais de 14% deles responderam que consumiam maconha há seis anos ou mais. O estudo constatou que esses jovens corriam um risco duas vezes maior de sofrer de doenças psicóticas, como a esquizofrenia, do que aqueles que nunca consumiram. O risco de serem vítimas de alucinações também é duas vezes maior; e o de delírios, quatro vezes mais elevado.']","['Segundo cientistas, quanto mais tempo se consome, mais elevada é a chance de efeitos não desejados', '01/03/2010 | 16:02\n                    \n          \n          Atualizado\n                    16:05', 'Consumir maconha por muito tempo aumenta o risco de doenças psíquicas, como psicoses, alucinações visuais ou auditivas e delírios, segundo um estudo australiano divulgado nesta segunda-feira nos Estados Unidos. Os pesquisadores do Instituto Cerebral da Universidade de Queensland consultaram 3,8 mil\xa0jovens de cerca de vinte anos sobre seu consumo de maconha e sobre a ocorrência de eventuais problemas psíquicos.', 'Pouco mais de 14% deles responderam que consumiam maconha há seis anos ou mais. O estudo constatou que esses jovens corriam um risco duas vezes maior de sofrer de doenças psicóticas, como a esquizofrenia, do que aqueles que nunca consumiram. O risco de serem vítimas de alucinações também é duas vezes maior; e o de delírios, quatro vezes mais elevado.', '""A ligação é muito clara entre o consumo e os três problemas estudados: quanto mais tempo se consome maconha, mais elevado é o risco de efeitos não desejados"", indicam os autores do estudo divulgado no Archives of General Psychiatry. Eles reconhecem, no entanto, que é difícil dizer se esses problemas psíquicos antecedem ou são consequência do consumo de entorpecentes. ""A relação é complexa"", revelam. ""Os indivíduos que sofrem de sintomas psicóticos isolados correm um risco maior de consumir maconha, o que poderia, por sua vez, contribuir para aumentar o risco de problemas psicóticos"", de acordo com o estudo.', 'Brasil vive ""vácuo"" de profissionais capacitados para lidar com 5G e novas tecnologias']",9
